title,year,studio,archive_id,details_url,embed_url,download_url,video_filename,description,characters,age_range,runtime_minutes,public_domain_basis,public_domain_confidence,needs_legal_review,verified,calmness_score,visual_stimulation,audio_intensity,emotional_intensity,conflict_level,educational_value,bedtime_friendly,tags,ai_summary,id
Bonanza - Day Of Reckoning,1860,Unknown,Bonanza_-_Day_Of_Reckoning,https://archive.org/details/Bonanza_-_Day_Of_Reckoning,https://archive.org/embed/Bonanza_-_Day_Of_Reckoning,https://archive.org/download/Bonanza_-_Day_Of_Reckoning/Bonanza_-_Day_Of_Reckoning.mp4,Bonanza_-_Day_Of_Reckoning.mp4,"Set in Nevada in the 1860's, Bonanza chronicled the adventures of the Cartwright family who owned a large ranch called The Ponderosa. Ben Cartwright and his three sons, Adam, Hoss, and Joe fought for what was just and decent in a time where lawlessness was common. The widowed patriarch Ben Cartwright had three sons, each by a different wife: the oldest was the urbane architect Adam Cartwright, who built the ranch house. The second was the warm and lovable giant Eric, better known by his nickname ""Hoss."" And the youngest was the hotheaded and impetuous Joseph or ""Little Joe."" They all lived and worked on The Ponderosa. Nearby Virginia City helped populate the episodes with guest starring characters from all over America. Broadcast between September 1959 and January 1973. Filmed by the Natio","[""Unknown""]",6-10,,Pre-1929 publication; likely U.S. public domain by age.,0.95,False,True,48,high,medium,medium,high,medium,False,"[""adventure"", ""friendship""]",A classic Unknown cartoon with high visual stimulation and high conflict.,1
Bonanza - Death At Dawn,1860,Unknown,Bonanza-DeathAtDawn,https://archive.org/details/Bonanza-DeathAtDawn,https://archive.org/embed/Bonanza-DeathAtDawn,https://archive.org/download/Bonanza-DeathAtDawn/Bonanza_-_Death_At_Dawn_S01-E32.mp4,Bonanza_-_Death_At_Dawn_S01-E32.mp4,"Set in Nevada in the 1860's, Bonanza chronicled the adventures of the Cartwright family who owned a large ranch called The Ponderosa. Ben Cartwright and his three sons, Adam, Hoss, and Joe fought for what was just and decent in a time where lawlessness was common. The widowed patriarch Ben Cartwright had three sons, each by a different wife: the oldest was the urbane architect Adam Cartwright, who built the ranch house. The second was the warm and lovable giant Eric, better known by his nickname ""Hoss."" And the youngest was the hotheaded and impetuous Joseph or ""Little Joe."" They all lived and worked on The Ponderosa. Nearby Virginia City helped populate the episodes with guest starring characters from all over America. Broadcast between September 1959 and January 1973. Filmed by the Natio","[""Unknown""]",6-10,,Pre-1929 publication; likely U.S. public domain by age.,0.95,False,True,48,high,medium,medium,high,medium,False,"[""adventure"", ""musical"", ""friendship""]",A classic Unknown cartoon with high visual stimulation and high conflict.,2
Bonanza - Death on Sun Mountain,1860,Unknown,Bonanza-DeathOnSunMountain,https://archive.org/details/Bonanza-DeathOnSunMountain,https://archive.org/embed/Bonanza-DeathOnSunMountain,https://archive.org/download/Bonanza-DeathOnSunMountain/BonanzaS1e02DeathOnSunMountain.mp4,BonanzaS1e02DeathOnSunMountain.mp4,"Set in Nevada in the 1860's, Bonanza chronicled the adventures of the Cartwright family who owned a large ranch called The Ponderosa. Ben Cartwright and his three sons, Adam, Hoss, and Joe fought for what was just and decent in a time where lawlessness was common. The widowed patriarch Ben Cartwright had three sons, eaach by a different: the oldest was the urbane architect Adam Cartwright, who built the ranch house. The second was the warm and loveable giant Eric, best known by his nickname ""Hoss."" And the youngest was the the hotheaded and impetuous Joseph or ""Little Joe."" They all lived and worked on The Ponderosa. Nearby Virgina City helped populate the episodes with guest starring characters from all over America. Broadcast between September 1959 and January 1973. Filmed by the Nationa","[""Unknown""]",6-10,,Pre-1929 publication; likely U.S. public domain by age.,0.95,False,True,48,high,medium,medium,high,medium,False,"[""adventure"", ""friendship""]",A classic Unknown cartoon with high visual stimulation and high conflict.,3
Bonanza - Denver McKee,1860,Unknown,Bonanza_-_Denver_McKee,https://archive.org/details/Bonanza_-_Denver_McKee,https://archive.org/embed/Bonanza_-_Denver_McKee,https://archive.org/download/Bonanza_-_Denver_McKee/Bonanza_-_Denver_McKee.mp4,Bonanza_-_Denver_McKee.mp4,"Set in Nevada in the 1860's, Bonanza chronicled the adventures of the Cartwright family who owned a large ranch called The Ponderosa. Ben Cartwright and his three sons, Adam, Hoss, and Joe fought for what was just and decent in a time where lawlessness was common. The widowed patriarch Ben Cartwright had three sons, each by a different wife: the oldest was the urbane architect Adam Cartwright, who built the ranch house. The second was the warm and lovable giant Eric, better known by his nickname ""Hoss."" And the youngest was the hotheaded and impetuous Joseph or ""Little Joe."" They all lived and worked on The Ponderosa. Nearby Virginia City helped populate the episodes with guest starring characters from all over America. Broadcast between September 1959 and January 1973. Filmed by the Natio","[""Unknown""]",6-10,,Pre-1929 publication; likely U.S. public domain by age.,0.95,False,True,48,high,medium,medium,high,medium,False,"[""adventure"", ""friendship""]",A classic Unknown cartoon with high visual stimulation and high conflict.,4
Bonanza - Showdown,1860,Unknown,Bonanza-Showdown,https://archive.org/details/Bonanza-Showdown,https://archive.org/embed/Bonanza-Showdown,https://archive.org/download/Bonanza-Showdown/Bonanza_-_Showdown_S02-E01.mp4,Bonanza_-_Showdown_S02-E01.mp4,"Set in Nevada in the 1860's, Bonanza chronicled the adventures of the Cartwright family who owned a large ranch called The Ponderosa. Ben Cartwright and his three sons, Adam, Hoss, and Joe fought for what was just and decent in a time where lawlessness was common. The widowed patriarch Ben Cartwright had three sons, each by a different wife: the oldest was the urbane architect Adam Cartwright, who built the ranch house. The second was the warm and lovable giant Eric, better known by his nickname ""Hoss."" And the youngest was the hotheaded and impetuous Joseph or ""Little Joe."" They all lived and worked on The Ponderosa. Nearby Virginia City helped populate the episodes with guest starring characters from all over America. Broadcast between September 1959 and January 1973. Filmed by the Natio","[""Unknown""]",6-10,,Pre-1929 publication; likely U.S. public domain by age.,0.95,False,True,48,high,medium,medium,high,medium,False,"[""adventure"", ""friendship""]",A classic Unknown cartoon with high visual stimulation and high conflict.,5
Bonanza - Silent Thunder,1860,Unknown,Bonanza_-_Silent_Thunder,https://archive.org/details/Bonanza_-_Silent_Thunder,https://archive.org/embed/Bonanza_-_Silent_Thunder,https://archive.org/download/Bonanza_-_Silent_Thunder/Bonanza_-_Silent_Thunder.mp4,Bonanza_-_Silent_Thunder.mp4,"Set in Nevada in the 1860's, Bonanza chronicled the adventures of the Cartwright family who owned a large ranch called The Ponderosa. Ben Cartwright and his three sons, Adam, Hoss, and Joe fought for what was just and decent in a time where lawlessness was common. The widowed patriarch Ben Cartwright had three sons, each by a different wife: the oldest was the urbane architect Adam Cartwright, who built the ranch house. The second was the warm and lovable giant Eric, better known by his nickname ""Hoss."" And the youngest was the hotheaded and impetuous Joseph or ""Little Joe."" They all lived and worked on The Ponderosa. Nearby Virginia City helped populate the episodes with guest starring characters from all over America. Broadcast between September 1959 and January 1973. Filmed by the Natio","[""Unknown""]",6-10,,Pre-1929 publication; likely U.S. public domain by age.,0.95,False,True,48,high,medium,medium,high,medium,False,"[""adventure"", ""friendship""]",A classic Unknown cartoon with high visual stimulation and high conflict.,6
Bonanza - The Ape,1860,Unknown,Bonanza_-_The_Ape,https://archive.org/details/Bonanza_-_The_Ape,https://archive.org/embed/Bonanza_-_The_Ape,https://archive.org/download/Bonanza_-_The_Ape/Bonanza_-_The_Ape.mp4,Bonanza_-_The_Ape.mp4,"Set in Nevada in the 1860's, Bonanza chronicled the adventures of the Cartwright family who owned a large ranch called The Ponderosa. Ben Cartwright and his three sons, Adam, Hoss, and Joe fought for what was just and decent in a time where lawlessness was common. The widowed patriarch Ben Cartwright had three sons, each by a different wife: the oldest was the urbane architect Adam Cartwright, who built the ranch house. The second was the warm and lovable giant Eric, better known by his nickname ""Hoss."" And the youngest was the hotheaded and impetuous Joseph or ""Little Joe."" They all lived and worked on The Ponderosa. Nearby Virginia City helped populate the episodes with guest starring characters from all over America. Broadcast between September 1959 and January 1973. Filmed by the Natio","[""Unknown""]",6-10,,Pre-1929 publication; likely U.S. public domain by age.,0.95,False,True,48,high,medium,medium,high,medium,False,"[""adventure"", ""friendship""]",A classic Unknown cartoon with high visual stimulation and high conflict.,7
Bonanza - The Blood Line,1860,Unknown,Bonanza_-_The_Blood_Line,https://archive.org/details/Bonanza_-_The_Blood_Line,https://archive.org/embed/Bonanza_-_The_Blood_Line,https://archive.org/download/Bonanza_-_The_Blood_Line/Bonanza_-_The_Blood_Line.mp4,Bonanza_-_The_Blood_Line.mp4,"Set in Nevada in the 1860's, Bonanza chronicled the adventures of the Cartwright family who owned a large ranch called The Ponderosa. Ben Cartwright and his three sons, Adam, Hoss, and Joe fought for what was just and decent in a time where lawlessness was common. The widowed patriarch Ben Cartwright had three sons, each by a different wife: the oldest was the urbane architect Adam Cartwright, who built the ranch house. The second was the warm and lovable giant Eric, better known by his nickname ""Hoss."" And the youngest was the hotheaded and impetuous Joseph or ""Little Joe."" They all lived and worked on The Ponderosa. Nearby Virginia City helped populate the episodes with guest starring characters from all over America. Broadcast between September 1959 and January 1973. Filmed by the Natio","[""Unknown""]",6-10,,Pre-1929 publication; likely U.S. public domain by age.,0.95,False,True,48,high,medium,medium,high,medium,False,"[""adventure"", ""friendship""]",A classic Unknown cartoon with high visual stimulation and high conflict.,8
Bonanza - The Courtship,1860,Unknown,Bonanza_-_The_Courtship,https://archive.org/details/Bonanza_-_The_Courtship,https://archive.org/embed/Bonanza_-_The_Courtship,https://archive.org/download/Bonanza_-_The_Courtship/Bonanza_-_The_Courtship.mp4,Bonanza_-_The_Courtship.mp4,"Set in Nevada in the 1860's, Bonanza chronicled the adventures of the Cartwright family who owned a large ranch called The Ponderosa. Ben Cartwright and his three sons, Adam, Hoss, and Joe fought for what was just and decent in a time where lawlessness was common. The widowed patriarch Ben Cartwright had three sons, each by a different wife: the oldest was the urbane architect Adam Cartwright, who built the ranch house. The second was the warm and lovable giant Eric, better known by his nickname ""Hoss."" And the youngest was the hotheaded and impetuous Joseph or ""Little Joe."" They all lived and worked on The Ponderosa. Nearby Virginia City helped populate the episodes with guest starring characters from all over America. Broadcast between September 1959 and January 1973. Filmed by the Natio","[""Unknown""]",6-10,,Pre-1929 publication; likely U.S. public domain by age.,0.95,False,True,48,high,medium,medium,high,medium,False,"[""adventure"", ""friendship""]",A classic Unknown cartoon with high visual stimulation and high conflict.,9
Bonanza - The Hopefuls,1860,Unknown,Bonanza_-_The_Hopefuls,https://archive.org/details/Bonanza_-_The_Hopefuls,https://archive.org/embed/Bonanza_-_The_Hopefuls,https://archive.org/download/Bonanza_-_The_Hopefuls/Bonanza_-_The_Hopefuls.mp4,Bonanza_-_The_Hopefuls.mp4,"Set in Nevada in the 1860's, Bonanza chronicled the adventures of the Cartwright family who owned a large ranch called The Ponderosa. Ben Cartwright and his three sons, Adam, Hoss, and Joe fought for what was just and decent in a time where lawlessness was common. The widowed patriarch Ben Cartwright had three sons, each by a different wife: the oldest was the urbane architect Adam Cartwright, who built the ranch house. The second was the warm and lovable giant Eric, better known by his nickname ""Hoss."" And the youngest was the hotheaded and impetuous Joseph or ""Little Joe."" They all lived and worked on The Ponderosa. Nearby Virginia City helped populate the episodes with guest starring characters from all over America. Broadcast between September 1959 and January 1973. Filmed by the Natio","[""Unknown""]",6-10,,Pre-1929 publication; likely U.S. public domain by age.,0.95,False,True,48,high,medium,medium,high,medium,False,"[""adventure"", ""friendship""]",A classic Unknown cartoon with high visual stimulation and high conflict.,10
